ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
103121,Olha Rozshchupkina,F,16,4.7,79,Ukraine,2000,Gymnastics Women's Individual All-Around,NA
103134,Thorleiv Bugge Rhn,M,24,NA,NA,Norway,1906,Gymnastics Men's Team All-Around,Gold
103136,Hans Stig Trappaud Rnne,M,32,NA,NA,Denmark,1920,"Gymnastics Men's Team All-Around, Free System",Gold
103189,Baldomero Rubiera Fernndez,M,23,NA,NA,Cuba,1948,Gymnastics Men's Individual All-Around,NA
103207,Miguel ngel Rubio Anguita,M,22,5.6,141,Spain,1988,Gymnastics Men's Individual All-Around,NA
103235,"Irmentraud ""Traudl"" Ruckser",F,23,NA,NA,Austria,1948,Gymnastics Women's Team All-Around,NA
103249,Irn Rudas,F,NA,NA,NA,Hungary,1928,Gymnastics Women's Team All-Around,NA
103256,"Sandra Marlene Ruddick (Anderson-, -John)",F,24,5.8,130,United States,1956,Gymnastics Women's Individual All-Around,NA
103281,Vitaly Ivanovich Rudnitsky,M,21,5.4,134,Belarus,1996,Gymnastics Men's Individual All-Around,NA
103312,Eva Mara Rueda Bravo,F,17,5.2,121,Spain,1988,Gymnastics Women's Individual All-Around,NA
103362,Melita (-Melitta) Ruhn (-Fleischer),F,15,5.1,93,Romania,1980,Gymnastics Women's Individual All-Around,NA
103526,Lidija Rupnik (-ifrer),F,21,NA,NA,Yugoslavia,1936,Gymnastics Women's Team All-Around,NA
103555,Zhivko Rusev,M,17,5.4,130,Bulgaria,1976,Gymnastics Men's Individual All-Around,NA
103636,Ernestine Jean Russell-Carter (-Weaver),F,18,5,115,Canada,1956,Gymnastics Women's Individual All-Around,NA
103646,Monette Simone Russo,F,16,4.9,88,Australia,2004,Gymnastics Women's Individual All-Around,NA
103687,Monica Kathleen Rutherford (-Phelps),F,20,5.2,134,Great Britain,1964,Gymnastics Women's Individual All-Around,NA
103743,Zdenk Rika,M,23,NA,NA,Czechoslovakia,1948,Gymnastics Men's Individual All-Around,NA
103744,Hana Rikov (-Vorlkov),F,19,5.3,128,Czechoslovakia,1960,Gymnastics Women's Individual All-Around,NA
103746,Vra Rikov (Schulakov-),F,19,NA,NA,Czechoslovakia,1948,Gymnastics Women's Team All-Around,Gold
103811,Yury Sergeyevich Ryazanov,M,21,5.6,150,Russia,2008,Gymnastics Men's Individual All-Around,NA
103835,Reinhard Rychly,M,20,5.4,137,East Germany,1972,Gymnastics Men's Individual All-Around,NA
103839,Leanne Rycroft,F,19,5,99,Australia,1988,Gymnastics Women's Individual All-Around,NA
103841,Ewa Margareta Rydell (-Orrensj),F,18,5.1,110,Sweden,1960,Gymnastics Women's Individual All-Around,NA
103852,Arvid Rydman,M,27,NA,NA,Finland,1912,"Gymnastics Men's Team All-Around, Free System",Silver
103856,Arthur Nicolai Rydstrm,M,24,NA,NA,Norway,1920,"Gymnastics Men's Team All-Around, Free System",Silver
103954,Elvira Fuadovna Saadi,F,20,5.4,117,Soviet Union,1972,Gymnastics Women's Individual All-Around,NA
103976,Arno Aleksanteri (-Aarno) Saarinen,M,23,NA,NA,Finland,1908,Gymnastics Men's Team All-Around,Bronze
