ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
123534,Marius Daniel Urzic,M,28,5.3,126,Romania,2004,Gymnastics Men's Pommelled Horse,Silver
123715,Ladislav Vcha,M,25,NA,NA,Czechoslovakia,1924,Gymnastics Men's Rings,Bronze
123715,Ladislav Vcha,M,25,NA,NA,Czechoslovakia,1924,Gymnastics Men's Rope Climbing,Bronze
123715,Ladislav Vcha,M,29,NA,NA,Czechoslovakia,1928,Gymnastics Men's Team All-Around,Silver
123715,Ladislav Vcha,M,29,NA,NA,Czechoslovakia,1928,Gymnastics Men's Parallel Bars,Gold
123715,Ladislav Vcha,M,29,NA,NA,Czechoslovakia,1928,Gymnastics Men's Rings,Silver
123742,Kristen Mller Vadgaard,M,25,NA,NA,Denmark,1912,"Gymnastics Men's Team All-Around, Swedish System",Silver
123776,"Karl Gustaf ""Kaarlo"" Vhmki",M,19,NA,NA,Finland,1912,"Gymnastics Men's Team All-Around, Free System",Silver
124124,Istvn Vmos,M,22,5.8,154,Hungary,1980,Gymnastics Men's Team All-Around,Bronze
124296,"Jacomina Elizabeth Sophia ""Mien"" van den Berg (-Schlee)",F,18,NA,NA,Netherlands,1928,Gymnastics Women's Team All-Around,Gold
124307,"Alida Johanna ""Alie"" van den Bos",F,26,NA,NA,Netherlands,1928,Gymnastics Women's Team All-Around,Gold
124461,"Anna Maria ""Annie"" van der Vegt (-Smeeman)",F,24,NA,NA,Netherlands,1928,Gymnastics Women's Team All-Around,Gold
124627,Jean Van Guysse,M,NA,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
124782,Alphonse Van Mele,M,28,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
124841,"Petronella Phillemina Johanna ""Nel"" van Randwijk (-de Pater)",F,22,NA,NA,Netherlands,1928,Gymnastics Women's Team All-Around,Gold
124896,Hendrika Alida van Rumt,F,30,NA,NA,Netherlands,1928,Gymnastics Women's Team All-Around,Gold
125042,Vra Vanurov (-Rylickov),F,19,NA,NA,Czechoslovakia,1952,Gymnastics Women's Team All-Around,Bronze
125327,Ferenc Vrki,M,32,NA,NA,Hungary,1948,Gymnastics Men's Team All-Around,Bronze
125343,Benjamin Gabriel Jean Varonian,M,20,5.5,143,France,2000,Gymnastics Men's Horizontal Bar,Silver
125361,"Kaarlo Hjalmar ""Kalle"" Vasama",M,26,NA,NA,Finland,1912,"Gymnastics Men's Team All-Around, Free System",Silver
125404,Dmitry Andreyevich Vasilenko,M,20,5.4,130,Russia,1996,Gymnastics Men's Team All-Around,Gold
125511,Emilia Vtoiu-Li,F,23,5.1,112,Romania,1956,Gymnastics Women's Team All-Around,Bronze
125511,Emilia Vtoiu-Li,F,26,5.1,112,Romania,1960,Gymnastics Women's Team All-Around,Bronze
125523,Philippe Louis Michel Vatuone,M,22,5.6,143,France,1984,Gymnastics Men's Floor Exercise,Bronze
125936,Franois Verboven,M,NA,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
125937,Jean Verboven,M,NA,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
125944,Ines Vercesi,F,12,NA,NA,Italy,1928,Gymnastics Women's Team All-Around,Silver
125968,Julien Verdonck,M,NA,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
126029,Henri William Joseph Verhavert,M,45,NA,NA,Belgium,1920,"Gymnastics Men's Team All-Around, Swedish System",Bronze
126066,Knud Frederik Rasmus Vermehren,M,29,NA,NA,Denmark,1920,"Gymnastics Men's Team All-Around, Free System",Gold
126080,Zdena Vemiovsk,F,23,NA,NA,Czechoslovakia,1936,Gymnastics Women's Team All-Around,Silver
126080,Zdena Vemiovsk,F,35,NA,NA,Czechoslovakia,1948,Gymnastics Women's Team All-Around,Gold
126096,Oleh Yuriyovych Verniaiev,M,22,5.3,121,Ukraine,2016,Gymnastics Men's Individual All-Around,Silver
126096,Oleh Yuriyovych Verniaiev,M,22,5.3,121,Ukraine,2016,Gymnastics Men's Parallel Bars,Gold
126154,Joseph Verstraeten,M,NA,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
126193,Vclav Vesel,M,27,NA,NA,Czechoslovakia,1928,Gymnastics Men's Team All-Around,Silver
126205,Georg Erland Larsen Vest,M,23,NA,NA,Denmark,1920,"Gymnastics Men's Team All-Around, Swedish System",Silver
126234,Marie Vtrovsk (-irok),F,24,NA,NA,Czechoslovakia,1936,Gymnastics Women's Team All-Around,Silver
126299,Angelo Vicardi,M,23,5.5,154,Italy,1960,Gymnastics Men's Team All-Around,Bronze
126397,Peter Glen Vidmar,M,23,5.4,132,United States,1984,Gymnastics Men's Individual All-Around,Silver
126397,Peter Glen Vidmar,M,23,5.4,132,United States,1984,Gymnastics Men's Team All-Around,Gold
126397,Peter Glen Vidmar,M,23,5.4,132,United States,1984,Gymnastics Men's Pommelled Horse,Gold
126488,Charles Alfred Vigurs,M,23,NA,NA,Great Britain,1912,Gymnastics Men's Team All-Around,Bronze
126491,Igors Vihrovs,M,22,5.4,137,Latvia,2000,Gymnastics Men's Floor Exercise,Gold
126742,Karl-Gustaf Vingqvist,M,24,NA,NA,Sweden,1908,Gymnastics Men's Team All-Around,Gold
126762,Johannes Larsen Vinther,M,19,NA,NA,Denmark,1912,"Gymnastics Men's Team All-Around, Swedish System",Silver
126831,Kalevi Viskari,M,24,5.8,143,Finland,1952,Gymnastics Men's Team All-Around,Bronze
126898,Rita Vittadini,F,14,NA,NA,Italy,1928,Gymnastics Women's Team All-Around,Silver
126928,Georges Vivex,M,NA,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
127106,Emil Alwell Voigt,M,24,NA,NA,United States,1904,Gymnastics Men's Rings,Bronze
127106,Emil Alwell Voigt,M,24,NA,NA,United States,1904,Gymnastics Men's Rope Climbing,Bronze
127106,Emil Alwell Voigt,M,24,NA,NA,United States,1904,Gymnastics Men's Club Swinging,Silver
127117,Camelia Voinea,F,18,5,97,Romania,1988,Gymnastics Women's Team All-Around,Silver
127124,Eszter (Zsfia) Voit (-Vlgyi),F,20,NA,NA,Hungary,1936,Gymnastics Women's Team All-Around,Bronze
127154,Yelena Vladimirovna Volchetskaya (-Tyunenkova),F,19,5.1,115,Soviet Union,1964,Gymnastics Women's Team All-Around,Gold
127257,Matthias Max Volz,M,26,NA,NA,Germany,1936,Gymnastics Men's Team All-Around,Gold
127257,Matthias Max Volz,M,26,NA,NA,Germany,1936,Gymnastics Men's Horse Vault,Bronze
127257,Matthias Max Volz,M,26,NA,NA,Germany,1936,Gymnastics Men's Rings,Bronze
127352,Nils Gustav von Kantzow,M,22,NA,NA,Sweden,1908,Gymnastics Men's Team All-Around,Gold
127483,Oleksandr Serhiyovych Vorobiov,M,23,5.2,121,Ukraine,2008,Gymnastics Men's Rings,Bronze
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Individual All-Around,Silver
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Team All-Around,Silver
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Horse Vault,Gold
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Parallel Bars,Silver
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Horizontal Bar,Gold
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Rings,Silver
127501,Mikhail Yakovlevich Voronin,M,23,5.6,143,Soviet Union,1968,Gymnastics Men's Pommelled Horse,Bronze
127501,Mikhail Yakovlevich Voronin,M,27,5.6,143,Soviet Union,1972,Gymnastics Men's Team All-Around,Silver
127501,Mikhail Yakovlevich Voronin,M,27,5.6,143,Soviet Union,1972,Gymnastics Men's Rings,Silver
127506,Zinaida Borisovna Voronina (Druzhinina-),F,20,5.4,117,Soviet Union,1968,Gymnastics Women's Individual All-Around,Silver
127506,Zinaida Borisovna Voronina (Druzhinina-),F,20,5.4,117,Soviet Union,1968,Gymnastics Women's Team All-Around,Gold
127506,Zinaida Borisovna Voronina (Druzhinina-),F,20,5.4,117,Soviet Union,1968,Gymnastics Women's Horse Vault,Bronze
127506,Zinaida Borisovna Voronina (Druzhinina-),F,20,5.4,117,Soviet Union,1968,Gymnastics Women's Uneven Bars,Bronze
127520,Aleksey Nikolayevich Voropayev,M,19,5.4,150,Unified Team,1992,Gymnastics Men's Team All-Around,Gold
127520,Aleksey Nikolayevich Voropayev,M,23,5.4,150,Russia,1996,Gymnastics Men's Team All-Around,Gold
127552,Nils Knutsen Voss (-Repl),M,26,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
127855,Julianus Wagemans,M,29,NA,NA,Belgium,1920,Gymnastics Men's Team All-Around,Silver
128098,Franois Walker,M,NA,NA,NA,France,1920,Gymnastics Men's Team All-Around,Bronze
128137,Samuel John Walker,M,28,NA,NA,Great Britain,1912,Gymnastics Men's Team All-Around,Bronze
128302,Josef Walter,M,34,NA,NA,Switzerland,1936,Gymnastics Men's Team All-Around,Silver
128302,Josef Walter,M,34,NA,NA,Switzerland,1936,Gymnastics Men's Floor Exercise,Silver
128325,Aage Walther,M,23,NA,NA,Denmark,1920,"Gymnastics Men's Team All-Around, Swedish System",Silver
128618,Wang Yan,F,16,4.6,73,China,2016,Gymnastics Women's Team All-Around,Bronze
128811,Julien Victor Wartelle,M,31,NA,NA,France,1920,Gymnastics Men's Team All-Around,Bronze
128812,Paul Wartelle,M,28,NA,NA,France,1920,Gymnastics Men's Team All-Around,Bronze
129150,Peter Weber,M,25,5.3,132,Germany,1964,Gymnastics Men's Team All-Around,Bronze
129150,Peter Weber,M,29,5.3,132,East Germany,1968,Gymnastics Men's Team All-Around,Bronze
129162,Wilhelm Weber,M,NA,NA,NA,Germany,1904,Gymnastics Men's Individual All-Around,Silver
129162,Wilhelm Weber,M,NA,NA,NA,Germany,1904,"Gymnastics Men's Individual All-Around, Apparatus Work",Bronze
129196,Andreas Wecker,M,18,5.2,137,East Germany,1988,Gymnastics Men's Team All-Around,Silver
129196,Andreas Wecker,M,22,5.2,137,Germany,1992,Gymnastics Men's Horizontal Bar,Silver
129196,Andreas Wecker,M,22,5.2,137,Germany,1992,Gymnastics Men's Rings,Bronze
129196,Andreas Wecker,M,22,5.2,137,Germany,1992,Gymnastics Men's Pommelled Horse,Bronze
129196,Andreas Wecker,M,26,5.2,137,Germany,1996,Gymnastics Men's Horizontal Bar,Gold
129198,Edit Weckinger-Pernyi (Vsrhelyi-),F,25,NA,NA,Hungary,1948,Gymnastics Women's Team All-Around,Silver
129198,Edit Weckinger-Pernyi (Vsrhelyi-),F,29,NA,NA,Hungary,1952,Gymnastics Women's Team All-Around,Silver
129198,Edit Weckinger-Pernyi (Vsrhelyi-),F,29,NA,NA,Hungary,1952,Gymnastics Women's Team Portable Apparatus,Bronze
129248,Karl Magnus Wegelius,M,23,NA,NA,Finland,1908,Gymnastics Men's Team All-Around,Bronze
129377,Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Gymnastics Men's Horse Vault,Bronze
129377,Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,"Gymnastics Men's Parallel Bars, Teams",Gold
129377,Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Gymnastics Men's Horizontal Bar,Gold
129377,Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,"Gymnastics Men's Horizontal Bar, Teams",Gold
129377,Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Gymnastics Men's Rings,Silver
129377,Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Gymnastics Men's Pommelled Horse,Silver
129643,Oskar Edvard Wennerholm,M,22,NA,NA,Sweden,1912,"Gymnastics Men's Team All-Around, Swedish System",Gold
129720,Clas-Axel Wersll,M,23,NA,NA,Sweden,1912,"Gymnastics Men's Team All-Around, Swedish System",Gold
